epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.290315,2.84268,4.11709,2.25313,0,0,0,0,1.96527,4.00905,1.78339,0,0,0
2,0.630512,2.96863,4.06091,2.37927,0,0,0,0,1.94536,4.00559,1.76152,9.9175e-06,9.9175e-06,9.9175e-06
3,0.982837,3.35971,4.39785,2.60224,0,0,0,0,1.94536,4.00559,1.76152,1.967e-05,1.967e-05,1.967e-05
4,1.35088,2.47317,3.96947,2.10245,0,0,0,0,1.88773,3.99775,1.72597,2.92575e-05,2.92575e-05,2.92575e-05
5,1.66448,2.27002,4.12618,2.12845,0,0,0,0,1.88773,3.99775,1.72597,3.868e-05,3.868e-05,3.868e-05
6,1.98585,2.94155,4.31706,2.06659,0,0,0,0,1.88773,3.99775,1.72597,4.79375e-05,4.79375e-05,4.79375e-05
7,2.35111,3.35151,4.47009,2.44613,0,0,0,0,1.83988,3.9799,1.6503,5.703e-05,5.703e-05,5.703e-05
8,2.68443,2.82972,4.29633,2.04634,0,0,0,0,1.83988,3.9799,1.6503,6.59575e-05,6.59575e-05,6.59575e-05
9,3.01804,2.84077,4.34205,2.09875,0,0,0,0,1.83988,3.9799,1.6503,7.472e-05,7.472e-05,7.472e-05
10,3.33548,2.5777,3.9046,2.38412,0,0,0,0,1.83988,3.9799,1.6503,8.33175e-05,8.33175e-05,8.33175e-05
11,3.67918,2.30771,4.08515,2.34511,0,0,0,0,1.79484,3.96848,1.61902,9.175e-05,9.175e-05,9.175e-05
12,4.00502,2.52357,4.0604,2.09837,0,0,0,0,1.79484,3.96848,1.61902,0.000100017,0.000100017,0.000100017
13,4.32213,2.47051,4.13994,2.26511,0,0,0,0,1.79484,3.96848,1.61902,0.00010812,0.00010812,0.00010812
14,4.66446,2.47397,4.1266,2.20589,0,0,0,0,1.79484,3.96848,1.61902,0.000116058,0.000116058,0.000116058
15,5.03315,2.24276,3.69023,1.99882,0,0,0,0,1.79484,3.96848,1.61902,0.00012383,0.00012383,0.00012383
16,5.36677,2.38451,4.00234,2.05175,0,0,0,0,1.79484,3.96848,1.61902,0.000131437,0.000131437,0.000131437
17,5.71469,2.75763,4.14373,2.2262,0,0,0,0,1.82364,3.94991,1.60221,0.00013888,0.00013888,0.00013888
18,6.04295,2.31868,3.78854,2.03539,0,0,0,0,1.82364,3.94991,1.60221,0.000146158,0.000146158,0.000146158
19,6.36935,2.5429,4.07878,2.00953,0,0,0,0,1.82364,3.94991,1.60221,0.00015327,0.00015327,0.00015327
20,6.68768,2.08897,3.81244,1.8145,0,0,0,0,1.82364,3.94991,1.60221,0.000160218,0.000160218,0.000160218
21,7.0103,2.26205,4.2557,1.79945,0,0,0,0,1.82364,3.94991,1.60221,0.000167,0.000167,0.000167
22,7.33791,2.18387,4.35853,1.79733,0,0,0,0,1.82364,3.94991,1.60221,0.000173617,0.000173617,0.000173617
23,7.65614,2.48393,3.79378,2.11021,0,0,0,0,1.82364,3.94991,1.60221,0.00018007,0.00018007,0.00018007
24,8.0585,1.89576,3.76657,1.69452,0,0,0,0,1.82364,3.94991,1.60221,0.000186357,0.000186357,0.000186357
25,8.41959,2.6493,3.9015,2.25736,0,0,0,0,1.81814,3.91957,1.59055,0.00019248,0.00019248,0.00019248
26,8.75241,1.92996,4.2918,1.60542,0,0,0,0,1.81814,3.91957,1.59055,0.000198437,0.000198437,0.000198437
27,9.0787,1.83149,3.64286,1.54951,0,0,0,0,1.81814,3.91957,1.59055,0.00020423,0.00020423,0.00020423
28,9.40316,1.80668,3.75417,1.67671,0,0,0,0,1.81814,3.91957,1.59055,0.000209858,0.000209858,0.000209858
29,9.72012,1.75822,3.78393,1.44602,0,0,0,0,1.81814,3.91957,1.59055,0.00021532,0.00021532,0.00021532
30,10.037,2.17881,3.67428,1.83709,0,0,0,0,1.81814,3.91957,1.59055,0.000220617,0.000220617,0.000220617
31,10.3548,1.6316,3.75507,1.49107,0,0,0,0,1.81814,3.91957,1.59055,0.00022575,0.00022575,0.00022575
32,10.676,2.01189,3.92366,1.73113,0,0,0,0,1.81814,3.91957,1.59055,0.000230718,0.000230718,0.000230718
33,10.9938,2.50916,4.00741,2.17251,0,0,0,0,1.81814,3.91957,1.59055,0.00023552,0.00023552,0.00023552
34,11.3254,1.6868,3.68779,1.49522,0,0,0,0,1.81814,3.91957,1.59055,0.000240158,0.000240158,0.000240158
35,11.6628,1.77572,3.60175,1.69705,0,0,0,0,1.81814,3.91957,1.59055,0.00024463,0.00024463,0.00024463
36,11.99,1.83955,3.54205,1.78467,0,0,0,0,1.81814,3.91957,1.59055,0.000248938,0.000248938,0.000248938
37,12.3415,1.81407,3.93094,1.64506,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.00025308,0.00025308,0.00025308
38,12.661,1.32925,3.56992,1.24651,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.000257057,0.000257057,0.000257057
39,12.9814,1.75031,3.45607,1.48332,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.00026087,0.00026087,0.00026087
40,13.3055,1.44262,3.34819,1.35938,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.000264518,0.000264518,0.000264518
41,13.6292,1.89446,3.79661,1.60574,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.000268,0.000268,0.000268
42,13.9585,2.01465,3.88168,1.81947,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.000271317,0.000271317,0.000271317
43,14.2967,2.07512,3.62083,1.61982,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.00027447,0.00027447,0.00027447
44,14.6286,1.74581,3.86188,1.52237,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.000277458,0.000277458,0.000277458
45,14.9643,1.6893,3.82101,1.5278,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.00028028,0.00028028,0.00028028
46,15.328,2.09537,3.77399,1.67584,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.000282938,0.000282938,0.000282938
47,15.6534,2.33092,4.17695,1.77665,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.00028543,0.00028543,0.00028543
48,15.9789,2.278,3.59474,1.79658,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.000287758,0.000287758,0.000287758
49,16.3188,1.69085,3.73752,1.44853,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.00028992,0.00028992,0.00028992
50,16.6668,1.94449,3.51306,1.75675,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.000291917,0.000291917,0.000291917
51,17.0374,1.72804,4.10896,1.49753,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.00029375,0.00029375,0.00029375
52,17.3899,1.67442,3.46493,1.51018,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.000295417,0.000295417,0.000295417
53,17.8526,1.60089,3.79598,1.40764,0.0049,0.05556,0.00456,0.00046,1.86386,3.92102,1.5983,0.00029692,0.00029692,0.00029692
54,18.2235,1.61398,4.18464,1.51493,0,0,0,0,2.01415,3.96532,1.74092,0.000298257,0.000298257,0.000298257
55,18.5547,1.65661,3.40175,1.47359,0,0,0,0,2.01415,3.96532,1.74092,0.00029943,0.00029943,0.00029943
56,18.9049,1.45916,3.90397,1.35772,0,0,0,0,2.01415,3.96532,1.74092,0.000300438,0.000300438,0.000300438
57,19.2367,1.53799,3.78146,1.41844,0,0,0,0,2.01415,3.96532,1.74092,0.00030128,0.00030128,0.00030128
58,19.5654,1.38777,3.41,1.32798,0,0,0,0,2.01415,3.96532,1.74092,0.000301958,0.000301958,0.000301958
59,19.8957,1.27415,3.32531,1.33322,0,0,0,0,2.01415,3.96532,1.74092,0.00030247,0.00030247,0.00030247
60,20.2274,1.76076,4.15106,1.58312,0,0,0,0,2.01415,3.96532,1.74092,0.000302818,0.000302818,0.000302818
61,20.5736,1.38214,3.95211,1.45665,0,0,0,0,2.01415,3.96532,1.74092,0.000303,0.000303,0.000303
62,20.9022,1.55315,3.29844,1.36242,0,0,0,0,2.01415,3.96532,1.74092,0.000303017,0.000303017,0.000303017
63,21.238,1.65807,3.67802,1.53699,0,0,0,0,2.01415,3.96532,1.74092,0.00030287,0.00030287,0.00030287
64,21.612,1.56926,3.38212,1.2525,0,0,0,0,2.01415,3.96532,1.74092,0.000302558,0.000302558,0.000302558
65,21.9616,1.95103,3.93263,1.59922,0,0,0,0,2.01415,3.96532,1.74092,0.00030208,0.00030208,0.00030208
66,22.2855,1.46271,3.60612,1.58372,0,0,0,0,2.01415,3.96532,1.74092,0.000301438,0.000301438,0.000301438
67,22.6209,1.49555,3.66529,1.34928,0,0,0,0,2.01415,3.96532,1.74092,0.00030063,0.00030063,0.00030063
68,22.9615,1.51275,3.31438,1.51971,0,0,0,0,2.01415,3.96532,1.74092,0.000299658,0.000299658,0.000299658
69,23.3095,1.72561,3.6293,1.54696,0,0,0,0,2.01415,3.96532,1.74092,0.00029852,0.00029852,0.00029852
70,23.7225,1.67969,3.3424,1.45355,0,0,0,0,2.01415,3.96532,1.74092,0.000297218,0.000297218,0.000297218
71,24.1189,1.53102,3.38648,1.37554,0,0,0,0,2.01415,3.96532,1.74092,0.00029575,0.00029575,0.00029575
72,24.5069,1.73449,3.37902,1.54043,0,0,0,0,2.01415,3.96532,1.74092,0.000294117,0.000294117,0.000294117
73,24.892,1.74885,4.08877,1.6692,0,0,0,0,2.01415,3.96532,1.74092,0.00029232,0.00029232,0.00029232
74,25.2531,1.63882,3.93722,1.52365,0,0,0,0,2.01415,3.96532,1.74092,0.000290358,0.000290358,0.000290358
75,25.6155,1.42055,3.49539,1.23869,0,0,0,0,2.01415,3.96532,1.74092,0.00028823,0.00028823,0.00028823
76,25.9733,1.52768,4.08708,1.55462,0,0,0,0,2.01415,3.96532,1.74092,0.000285937,0.000285937,0.000285937
77,26.3556,1.77118,4.21362,1.66048,0,0,0,0,2.01415,3.96532,1.74092,0.00028348,0.00028348,0.00028348
78,26.7245,1.6147,4.10249,1.52557,0,0,0,0,2.01415,3.96532,1.74092,0.000280857,0.000280857,0.000280857
79,27.0887,1.38213,3.60875,1.34287,0,0,0,0,2.09875,3.95766,1.83973,0.00027807,0.00027807,0.00027807
80,27.4522,1.64266,3.69067,1.53881,0,0,0,0,2.09875,3.95766,1.83973,0.000275118,0.000275118,0.000275118
81,27.8012,1.48614,3.27024,1.29204,0,0,0,0,2.09875,3.95766,1.83973,0.000272,0.000272,0.000272
82,28.143,1.14616,2.95631,1.06091,0,0,0,0,2.09875,3.95766,1.83973,0.000268717,0.000268717,0.000268717
83,28.4815,1.81066,4.11062,1.7076,0,0,0,0,2.09875,3.95766,1.83973,0.00026527,0.00026527,0.00026527
84,28.821,1.265,2.87278,1.21713,0,0,0,0,2.09875,3.95766,1.83973,0.000261657,0.000261657,0.000261657
85,29.1726,1.867,3.93472,1.66677,0,0,0,0,2.09875,3.95766,1.83973,0.00025788,0.00025788,0.00025788
86,29.5535,1.26444,3.77917,1.44519,0,0,0,0,2.09875,3.95766,1.83973,0.000253937,0.000253937,0.000253937
87,29.9012,1.54316,3.25736,1.32583,0,0,0,0,2.09875,3.95766,1.83973,0.00024983,0.00024983,0.00024983
88,30.2389,2.1292,4.08178,1.84083,0,0,0,0,2.09875,3.95766,1.83973,0.000245557,0.000245557,0.000245557
89,30.5867,1.24775,3.07196,1.18925,0,0,0,0,2.09875,3.95766,1.83973,0.00024112,0.00024112,0.00024112
90,30.9234,1.38765,3.12941,1.2641,0,0,0,0,2.09875,3.95766,1.83973,0.000236518,0.000236518,0.000236518
91,31.2618,1.23891,3.0819,1.19359,0,0,0,0,2.09875,3.95766,1.83973,0.00023175,0.00023175,0.00023175
92,31.6151,1.60341,3.75886,1.55773,0,0,0,0,2.09875,3.95766,1.83973,0.000226818,0.000226818,0.000226818
93,32.061,1.79027,3.60032,1.54092,0,0,0,0,2.09875,3.95766,1.83973,0.00022172,0.00022172,0.00022172
94,32.4013,1.4944,3.78496,1.44744,0,0,0,0,2.09875,3.95766,1.83973,0.000216457,0.000216457,0.000216457
95,32.9288,1.80775,4.00009,1.64462,0,0,0,0,2.09875,3.95766,1.83973,0.00021103,0.00021103,0.00021103
96,33.2676,1.25237,3.26206,1.10674,0,0,0,0,2.09875,3.95766,1.83973,0.000205438,0.000205438,0.000205438
