epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47807,3.04642,4.42315,2.50456,0,0,0,0,1.96659,3.97353,1.78885,0,0,0
2,3.81086,2.55197,3.99883,2.07335,0,0,0,0,1.94204,3.96975,1.79494,9.87625e-06,9.87625e-06,9.87625e-06
3,4.1302,2.47505,4.1336,2.20164,0,0,0,0,1.9448,3.97159,1.78773,1.9505e-05,1.9505e-05,1.9505e-05
4,4.43642,2.84609,4.23305,2.40193,0,0,0,0,1.97182,3.95785,1.78871,2.88863e-05,2.88863e-05,2.88863e-05
5,4.72127,2.57807,4.11768,2.2167,0,0,0,0,1.98659,3.9546,1.77068,3.802e-05,3.802e-05,3.802e-05
6,5.05449,3.11275,4.33085,2.34267,0,0,0,0,1.93991,3.93942,1.72016,4.69063e-05,4.69063e-05,4.69063e-05
7,5.49464,2.50675,4.01594,2.1613,0,0,0,0,1.93148,3.93206,1.71268,5.5545e-05,5.5545e-05,5.5545e-05
8,5.81934,1.89778,3.95329,1.9063,0,0,0,0,1.94845,3.93804,1.72829,6.39362e-05,6.39362e-05,6.39362e-05
9,6.14309,2.76373,4.15903,2.49684,0,0,0,0,1.94845,3.93804,1.72829,7.208e-05,7.208e-05,7.208e-05
10,6.42106,2.59898,3.97497,2.41229,0,0,0,0,1.95419,3.93039,1.71999,7.99762e-05,7.99762e-05,7.99762e-05
11,6.694,1.69908,4.01702,1.67142,0,0,0,0,1.95419,3.93039,1.71999,8.7625e-05,8.7625e-05,8.7625e-05
12,6.97943,2.48328,4.14541,2.25147,0,0,0,0,1.9335,3.92779,1.69784,9.50263e-05,9.50263e-05,9.50263e-05
13,7.24172,1.85759,3.94383,1.66919,0,0,0,0,1.9335,3.92779,1.69784,0.00010218,0.00010218,0.00010218
14,7.51227,2.43342,3.8923,2.08643,0,0,0,0,1.95391,3.92133,1.67467,0.000109086,0.000109086,0.000109086
15,7.77316,2.08074,3.76779,1.74042,0,0,0,0,1.95391,3.92133,1.67467,0.000115745,0.000115745,0.000115745
16,8.05506,1.92266,3.71948,1.85659,0,0,0,0,2.01792,3.9092,1.6786,0.000122156,0.000122156,0.000122156
17,8.32968,1.84896,3.87626,1.65966,0,0,0,0,2.01792,3.9092,1.6786,0.00012832,0.00012832,0.00012832
18,8.62387,2.61401,3.99721,2.25834,0,0,0,0,2.04653,3.91404,1.70063,0.000134236,0.000134236,0.000134236
19,8.89555,1.68401,3.82252,1.57726,0,0,0,0,2.04653,3.91404,1.70063,0.000139905,0.000139905,0.000139905
20,9.21106,1.77619,4.37775,1.57152,0,0,0,0,2.05868,3.90908,1.68789,0.000145326,0.000145326,0.000145326
21,9.57877,2.20109,4.162,1.90349,0,0,0,0,2.05868,3.90908,1.68789,0.0001505,0.0001505,0.0001505
