epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.46897,0,8.02346,0,0,0,0,0,0,4.42969,0,0,0,0
2,3.86714,0,8.04648,0,0,0,0,0,0,4.42969,0,9.87625e-06,9.87625e-06,9.87625e-06
3,4.1117,0,8.02852,0,0,0,0,0,0,4.42969,0,1.9505e-05,1.9505e-05,1.9505e-05
4,4.35763,0,8.02073,0,0,0,0,0,0,4.42969,0,2.88863e-05,2.88863e-05,2.88863e-05
5,4.60081,0,8.00344,0,0,0,0,0,0,4.42969,0,3.802e-05,3.802e-05,3.802e-05
6,4.83752,0,7.96815,0,0,0,0,0,0,4.42969,0,4.69063e-05,4.69063e-05,4.69063e-05
7,5.10879,0,7.94658,0,0,0,0,0,0,4.42969,0,5.5545e-05,5.5545e-05,5.5545e-05
8,5.39486,0,7.91302,0,0,0,0,0,0,4.42969,0,6.39362e-05,6.39362e-05,6.39362e-05
9,5.74957,0,7.89214,0,0,0,0,0,0,4.42969,0,7.208e-05,7.208e-05,7.208e-05
10,6.00298,0,7.88304,0,0,0,0,0,0,4.42969,0,7.99762e-05,7.99762e-05,7.99762e-05
11,6.22723,0,7.85557,0,0,0,0,0,0,4.42969,0,8.7625e-05,8.7625e-05,8.7625e-05
12,6.48001,0,7.86395,0,0,0,0,0,0,4.42969,0,9.50263e-05,9.50263e-05,9.50263e-05
13,6.70796,0,7.82811,0,0,0,0,0,0,4.42969,0,0.00010218,0.00010218,0.00010218
14,6.97602,0,7.8328,0,0,0,0,0,0,4.42969,0,0.000109086,0.000109086,0.000109086
15,7.21463,0,7.76708,0,0,0,0,0,0,4.42969,0,0.000115745,0.000115745,0.000115745
16,7.4786,0,7.76074,0,0,0,0,0,0,4.42969,0,0.000122156,0.000122156,0.000122156
17,7.7288,0,7.7445,0,0,0,0,0,0,4.42969,0,0.00012832,0.00012832,0.00012832
18,7.98741,0,7.72583,0,0,0,0,0,0,4.42969,0,0.000134236,0.000134236,0.000134236
19,8.1935,0,7.72028,0,0,0,0,0,0,4.42969,0,0.000139905,0.000139905,0.000139905
20,8.4375,0,7.7036,0,0,0,0,0,0,4.42969,0,0.000145326,0.000145326,0.000145326
21,8.6495,0,7.67998,0,0,0,0,0,0,4.42969,0,0.0001505,0.0001505,0.0001505
22,8.91014,0,7.65455,0,0,0,0,0,0,4.42969,0,0.000155426,0.000155426,0.000155426
23,9.12218,0,7.61683,0,0,0,0,0,0,4.42969,0,0.000160105,0.000160105,0.000160105
24,9.46376,0,7.59847,0,0,0,0,0,0,4.42969,0,0.000164536,0.000164536,0.000164536
25,9.77548,0,7.64331,0,0,0,0,0,0,4.42969,0,0.00016872,0.00016872,0.00016872
26,10.0473,0,7.55443,0,0,0,0,0,0,4.42969,0,0.000172656,0.000172656,0.000172656
27,10.3011,0,7.59829,0,0,0,0,0,0,4.42969,0,0.000176345,0.000176345,0.000176345
28,10.5729,0,7.58705,0,0,0,0,0,0,4.42969,0,0.000179786,0.000179786,0.000179786
29,10.8285,0,7.49462,0,0,0,0,0,0,4.42969,0,0.00018298,0.00018298,0.00018298
30,11.0906,0,7.4965,0,0,0,0,0,0,4.42969,0,0.000185926,0.000185926,0.000185926
31,11.374,0,7.53127,0,0,0,0,0,0,4.42188,0,0.000188625,0.000188625,0.000188625
